year,month,day,high,low
2016,12,1,23°,19°
2016,12,2,24°,18°
2016,12,3,22°,18°
2016,12,4,26°,18°
2016,12,5,26°,17°
2016,12,6,27°,17°
2016,12,7,25°,18°
2016,12,8,26°,19°
2016,12,9,27°,17°
2016,12,10,26°,17°
2016,12,11,26°,17°
2016,12,12,28°,21°
2016,12,13,28°,18°
2016,12,14,27°,18°
2016,12,15,27°,18°
2016,12,16,27°,18°
2016,12,17,25°,17°
2016,12,18,28°,16°
2016,12,19,27°,17°
2016,12,20,24°,17°
2016,12,21,22°,18°
2016,12,22,26°,19°
2016,12,23,28°,17°
2016,12,24,26°,19°
2016,12,25,26°,18°
2016,12,26,26°,21°
2016,12,27,27°,18°
2016,12,28,27°,18°
2016,12,29,27°,18°
2016,12,30,26°,18°
2016,12,31,26°,18°
2017,1,1,25°,18°
2017,1,2,28°,18°
2017,1,3,28°,21°
2017,1,4,24°,18°
2017,1,5,25°,18°
2017,1,6,27°,18°
2017,1,7,27°,17°
2017,1,8,23°,17°
2017,1,9,24°,17°
2017,1,10,25°,18°
2017,1,11,26°,20°
2017,1,12,28°,18°
2017,1,13,28°,19°
2017,1,14,25°,17°
2017,1,15,27°,18°
2017,1,16,27°,18°
2017,1,17,28°,18°
2017,1,18,26°,17°
2017,1,19,27°,18°
2017,1,20,28°,18°
2017,1,21,27°,16°
2017,1,22,27°,16°
2017,1,23,29°,15°
2017,1,24,29°,21°
2017,1,25,30°,16°
2017,1,26,26°,21°
2017,1,27,26°,19°
2017,1,28,28°,19°
2017,1,29,28°,19°
2017,1,30,27°,19°
2017,1,31,28°,18°
2017,2,1,29°,19°
2017,2,2,29°,19°
2017,2,3,28°,19°
2017,2,4,30°,19°
2017,2,5,30°,19°
2017,2,6,29°,19°
2017,2,7,31°,19°
2017,2,8,30°,20°
2017,2,9,29°,20°
2017,2,10,30°,18°
2017,2,11,29°,19°
2017,2,12,24°,19°
2017,2,13,30°,17°
2017,2,14,29°,17°
2017,2,15,30°,16°
2017,2,16,28°,17°
2017,2,17,28°,18°
2017,2,18,27°,16°
2017,2,19,29°,17°
2017,2,20,27°,18°
2017,2,21,29°,18°
2017,2,22,24°,17°
2017,2,23,29°,16°
2017,2,24,26°,17°
2017,2,25,29°,18°
2017,2,26,27°,20°
2017,2,27,27°,18°
2017,2,28,27°,18°
2017,3,1,28°,16°
2017,3,2,28°,17°
2017,3,3,27°,17°
2017,3,4,30°,18°
2017,3,5,26°,21°
2017,3,6,29°,19°
2017,3,7,23°,18°
2017,3,8,23°,18°
2017,3,9,29°,18°
2017,3,10,25°,18°
2017,3,11,28°,17°
2017,3,12,24°,17°
2017,3,13,27°,17°
2017,3,14,23°,18°
2017,3,15,24°,17°
2017,3,16,28°,17°
2017,3,17,25°,18°
2017,3,18,28°,18°
2017,3,19,27°,16°
2017,3,20,28°,19°
2017,3,21,27°,19°
2017,3,22,26°,18°
2017,3,23,25°,18°
2017,3,24,25°,18°
2017,3,25,27°,18°
2017,3,26,23°,17°
2017,3,27,28°,17°
2017,3,28,24°,18°
2017,3,29,27°,17°
2017,3,30,25°,17°
2017,3,31,24°,11°
2017,4,1,27°,17°
2017,4,2,30°,17°
2017,4,3,30°,22°
2017,4,4,29°,19°
2017,4,5,29°,20°
