tablescraper-selected-row href,text-right,name,txt,progressBarTxt,progressBarTxt 2,progressBarTxt 3,text-center,kills,deaths,assists,text-center 2
https://www.leagueofgraphs.com/es/champions/builds/orianna,67.,Orianna,Mid,5.8%,47.3%,0.6%,"/
                            
                            /",4.4,4.9,8.5,0.0006
https://www.leagueofgraphs.com/es/champions/builds/volibear,68.,Volibear,Top,5.8%,50.6%,2.6%,"/
                            
                            /",4.9,5.2,6.8,0.0004
https://www.leagueofgraphs.com/es/champions/builds/nunu,69.,Nunu y Willump,Jungler,5.6%,50.0%,2.8%,"/
                            
                            /",3.9,5.1,11.6,0.0000
https://www.leagueofgraphs.com/es/champions/builds/rengar,70.,Rengar,"Jungler, Top",5.6%,49.8%,3.3%,"/
                            
                            /",7.8,5.9,5.3,0.0032
https://www.leagueofgraphs.com/es/champions/builds/fizz,71.,Fizz,Mid,5.6%,50.8%,15.0%,"/
                            
                            /",7.4,5.1,5.6,0.0013
https://www.leagueofgraphs.com/es/champions/builds/aphelios,72.,Aphelios,AD Carry,5.6%,46.1%,1.4%,"/
                            
                            /",5.8,5.9,6.4,0.0027
https://www.leagueofgraphs.com/es/champions/builds/drmundo,73.,Dr. Mundo,Jungler,5.5%,50.1%,2.4%,"/
                            
                            /",5.3,5.0,7.8,0.0003
https://www.leagueofgraphs.com/es/champions/builds/chogath,74.,Cho'Gath,Top,5.5%,51.8%,1.9%,"/
                            
                            /",5.4,5.1,6.4,0.0003
https://www.leagueofgraphs.com/es/champions/builds/nami,75.,Nami,Support,5.5%,51.0%,0.2%,"/
                            
                            /",1.8,5.1,14.5,0.0000
,,,,,,,,,,,
https://www.leagueofgraphs.com/es/champions/builds/janna,76.,Janna,Support,5.4%,50.2%,0.5%,"/
                            
                            /",1.7,5.1,13.2,0.0000
https://www.leagueofgraphs.com/es/champions/builds/bard,77.,Bardo,Support,5.4%,51.5%,0.5%,"/
                            
                            /",2.5,5.2,13.1,0.0000
https://www.leagueofgraphs.com/es/champions/builds/ahri,78.,Ahri,Mid,5.2%,51.4%,1.0%,"/
                            
                            /",5.8,4.9,7.4,0.0004
https://www.leagueofgraphs.com/es/champions/builds/jarvaniv,79.,Jarvan IV,Jungler,5.2%,50.0%,0.3%,"/
                            
                            /",5.1,5.5,12.2,0.0006
https://www.leagueofgraphs.com/es/champions/builds/fiddlesticks,80.,Fiddlesticks,Jungler,5.2%,52.4%,4.3%,"/
                            
                            /",5.2,5.3,9.1,0.0003
https://www.leagueofgraphs.com/es/champions/builds/swain,81.,Swain,Support,5.2%,51.3%,2.0%,"/
                            
                            /",5.3,6.4,10.3,0.0010
https://www.leagueofgraphs.com/es/champions/builds/karthus,82.,Karthus,Jungler,5.1%,51.5%,8.2%,"/
                            
                            /",7.4,6.7,9.1,0.0009
https://www.leagueofgraphs.com/es/champions/builds/mordekaiser,83.,Mordekaiser,Top,5.1%,50.2%,3.5%,"/
                            
                            /",5.6,5.7,4.7,0.0010
https://www.leagueofgraphs.com/es/champions/builds/jax,84.,Jax,Top,5.0%,47.9%,4.5%,"/
                            
                            /",5.6,5.9,4.3,0.0012
https://www.leagueofgraphs.com/es/champions/builds/monkeyking,85.,Wukong,Top,5.0%,51.7%,1.8%,"/
                            
                            /",6.1,5.3,5.9,0.0010
https://www.leagueofgraphs.com/es/champions/builds/nocturne,86.,Nocturne,"Jungler, Top",5.0%,51.6%,1.3%,"/
                            
                            /",7.2,5.8,6.6,0.0006
https://www.leagueofgraphs.com/es/champions/builds/gangplank,87.,Gangplank,Top,5.0%,46.7%,1.8%,"/
                            
                            /",5.1,5.6,6.5,0.0011
